Trial,Accuracy,Duration,Params,BestAccuracy
0,0.6163227937089233,40.520358085632324,"{'n_estimators': 357, 'max_depth': 6, 'num_leaves': 96, 'learning_rate': 0.20504906156190147, 'min_child_samples': 24, 'subsample': 0.24987181351583293, 'colsample_bytree': 0.6675236368805493, 'gamma': 0.1110253148972773, 'lambda': 3.434217308514608, 'alpha': 4.102675749374542, 'scale_pos_weight': 2.3081954520826704}",0.0
1,0.5888892521989341,10.89680528640747,"{'n_estimators': 49, 'max_depth': 21, 'num_leaves': 105, 'learning_rate': 0.19399084663220922, 'min_child_samples': 107, 'subsample': 0.2728166062172297, 'colsample_bytree': 0.7149946176855078, 'gamma': 0.491251968937757, 'lambda': 2.553914775993764, 'alpha': 2.8990523808338016, 'scale_pos_weight': 4.995008756736178}",0.6163227937089233
2,0.5649543864238302,30.501907110214233,"{'n_estimators': 445, 'max_depth': 10, 'num_leaves': 105, 'learning_rate': 0.2567042041479569, 'min_child_samples': 47, 'subsample': 0.2855246406694386, 'colsample_bytree': 0.8254979142726742, 'gamma': 2.8823256607711443, 'lambda': 1.1465702881032165, 'alpha': 3.9116300795214975, 'scale_pos_weight': 2.637636905833925}",0.6163227937089233
3,0.5717882483732792,32.141387701034546,"{'n_estimators': 466, 'max_depth': 21, 'num_leaves': 80, 'learning_rate': 0.11241436100024547, 'min_child_samples': 74, 'subsample': 0.2750430948542793, 'colsample_bytree': 0.6117655293348936, 'gamma': 3.302326796025997, 'lambda': 3.294329745827298, 'alpha': 1.0665038037270702, 'scale_pos_weight': 4.7345109327799095}",0.6163227937089233
4,0.5910146159631168,13.711206912994385,"{'n_estimators': 187, 'max_depth': 8, 'num_leaves': 106, 'learning_rate': 0.11796224143164587, 'min_child_samples': 184, 'subsample': 0.27017981132719904, 'colsample_bytree': 0.6384354223235869, 'gamma': 1.4923537825754578, 'lambda': 4.464177306284887, 'alpha': 1.6772908498247836, 'scale_pos_weight': 4.353847253935914}",0.6163227937089233
5,0.5797338390609162,16.654524564743042,"{'n_estimators': 401, 'max_depth': 24, 'num_leaves': 26, 'learning_rate': 0.199435191569936, 'min_child_samples': 121, 'subsample': 0.4692696252339772, 'colsample_bytree': 0.5847932333814689, 'gamma': 2.9711670212347503, 'lambda': 2.5231017197243846, 'alpha': 2.2400763903674914, 'scale_pos_weight': 4.743303565149035}",0.6163227937089233
6,0.5437661445901317,10.519094705581665,"{'n_estimators': 270, 'max_depth': 4, 'num_leaves': 93, 'learning_rate': 0.4439783928576562, 'min_child_samples': 174, 'subsample': 0.3200307781737075, 'colsample_bytree': 0.5769108105900661, 'gamma': 4.428524584524461, 'lambda': 2.246437567645374, 'alpha': 0.01800593139975326, 'scale_pos_weight': 0.8487278247815115}",0.6163227937089233
7,0.6537945917666678,11.060894012451172,"{'n_estimators': 206, 'max_depth': 15, 'num_leaves': 149, 'learning_rate': 0.21474479335882324, 'min_child_samples': 136, 'subsample': 0.9828285312351381, 'colsample_bytree': 0.9927975852961124, 'gamma': 0.8815346312533046, 'lambda': 4.199228858956364, 'alpha': 0.8914444001977473, 'scale_pos_weight': 1.5854269406447243}",0.6163227937089233
8,0.5787202040349214,6.941068410873413,"{'n_estimators': 129, 'max_depth': 6, 'num_leaves': 132, 'learning_rate': 0.29077961021372045, 'min_child_samples': 21, 'subsample': 0.539882285048894, 'colsample_bytree': 0.7378340919590485, 'gamma': 2.7973376403418375, 'lambda': 4.716659663917078, 'alpha': 0.1619191633521877, 'scale_pos_weight': 1.8399523550403791}",0.6537945917666678
9,0.5544583592191741,5.152649879455566,"{'n_estimators': 96, 'max_depth': 19, 'num_leaves': 55, 'learning_rate': 0.25447260838283114, 'min_child_samples': 52, 'subsample': 0.4024633575176272, 'colsample_bytree': 0.6799086471603151, 'gamma': 4.606293191490424, 'lambda': 0.31986982265646946, 'alpha': 0.9309392497549879, 'scale_pos_weight': 0.601249981026627}",0.6537945917666678
10,0.602262694961253,36.81393647193909,"{'n_estimators': 280, 'max_depth': 15, 'num_leaves': 148, 'learning_rate': 0.02231431939296913, 'min_child_samples': 144, 'subsample': 0.9932907508738699, 'colsample_bytree': 0.9911931351194976, 'gamma': 1.523094912699512, 'lambda': 3.7393217548437336, 'alpha': 4.920468230594173, 'scale_pos_weight': 3.3451901146794953}",0.6537945917666678
11,0.6837785697936762,22.852099418640137,"{'n_estimators': 344, 'max_depth': 13, 'num_leaves': 134, 'learning_rate': 0.36365191437858346, 'min_child_samples': 138, 'subsample': 0.7396255378487295, 'colsample_bytree': 0.862338660922269, 'gamma': 0.11526287958011583, 'lambda': 3.857036189484505, 'alpha': 3.3446456846131336, 'scale_pos_weight': 1.7979526449434444}",0.6537945917666678
12,0.6257397900794559,9.666806697845459,"{'n_estimators': 341, 'max_depth': 13, 'num_leaves': 137, 'learning_rate': 0.38365496539690047, 'min_child_samples': 143, 'subsample': 0.8960823229292848, 'colsample_bytree': 0.9755388332354398, 'gamma': 1.049721106191489, 'lambda': 4.935548755574384, 'alpha': 3.0858264917951805, 'scale_pos_weight': 1.5637237978557492}",0.6837785697936762
13,0.642121440015695,11.941505432128906,"{'n_estimators': 214, 'max_depth': 15, 'num_leaves': 127, 'learning_rate': 0.3765221685193426, 'min_child_samples': 152, 'subsample': 0.7319926768406866, 'colsample_bytree': 0.8686386434840954, 'gamma': 0.8358037313944879, 'lambda': 4.019378122242524, 'alpha': 2.1089379960062526, 'scale_pos_weight': 1.4217147511619306}",0.6837785697936762
